pincode,Hospital Name,district,block_name,lat,lon
303103,UPHC NIRMAN NAGAR MHA,Jaipur I,Jaipur I Urban,26.87082592,75.77792867
302006,Railway Session Site 45 ABOVE,Jaipur I,Jaipur I Urban,,
302004,ISOLATION SMS HOSPITAL (IDH),Jaipur I,Jaipur I Urban,26.90727186,75.81663543
302039,CD MURLIPURA MHA,Jaipur I,Jaipur I Urban,,
302005,Vidhan Sabha Only Staff Member,Jaipur I,Jaipur I Urban,,
303103,UPHC DEVI NAGAR,Jaipur I,Jaipur I Urban,26.95604612,75.764766
302016,TB Hospital 1,Jaipur I,Jaipur I Urban,26.93795895,75.79409065
302003,Heart And General Hospital,Jaipur I,Jaipur I Urban,26.909293,75.81104072
302004,Soni Hospital,Jaipur I,Jaipur I Urban,26.8961054,75.81481355
302002,National Institute Of Ayurved,Jaipur I,Jaipur I Urban,26.9348821,75.83193533
302001,Gangori PDDU Hospital UHC 1,Jaipur I,Jaipur I Urban,26.9311364,75.82047862
302016,Ruhs Govt Dental College,Jaipur I,Jaipur I Urban,26.93806894,75.79321227
302016,HBX Kanwatiya OTH,Jaipur I,Jaipur I Urban,26.94522675,75.79803963
302005,Covaxin VidhanSabha Only Staff,Jaipur I,Jaipur I Urban,,
302034,Covaxin Shallby Hospital,Jaipur I,Jaipur I Urban,26.9036515,75.72932627
302004,SMS Hospital 4 Dhanwantri 5th,Jaipur I,Jaipur I Urban,26.90870476,75.81625443
302004,SMS Medical College Hospital,Jaipur I,Jaipur I Urban,26.90727186,75.81663543
302016,FLW SETELIGHT BANIPARK,Jaipur I,Jaipur I Urban,26.92957032,75.7974568
302001,Zanana Hospital Site 1,Jaipur I,Jaipur I Urban,26.92697981,75.80662217
302006,Military Hospital 1,Jaipur I,Jaipur I Urban,,
302003,Khonagorian Cvc,Jaipur II,Jaipur II Urban,,
302026,UPHC JAHGATPURA CVC,Jaipur II,Jaipur II Urban,,
302018,Medical College Jaipuriya CVC,Jaipur II,Jaipur II Urban,,
302017,UPHC INDIRA GANDHI NAGAR CVC,Jaipur II,Jaipur II Urban,,
302020,Mansarovar Sec 8 CVC,Jaipur II,Jaipur II Urban,,
302011,Uphc Sachivalya Cvc,Jaipur II,Jaipur II Urban,,
302033,Pratap Nagar Sector. 6 Cvc,Jaipur II,Jaipur II Urban,,
302033,UPSC Luniyavas Cvc,Jaipur II,Jaipur II Urban,,
302018,Raghu Vihar Cvc,Jaipur II,Jaipur II Urban,26.85380224,75.78499593
302017,Fortis Hospital CVC 1,Jaipur II,Jaipur II Urban,26.84716837,75.80341912
302020,UPHC Radheshyam Kandoi,Jaipur II,Jaipur II Urban,,
302039,Manipal Hospitall,Jaipur I,Jaipur I Urban,26.96981146,75.77364265
302020,Saket Hospital Mansarover,Jaipur II,Jaipur II Urban,26.85003454,75.76505722
302033,Narayana Hospital CVC,Jaipur II,Jaipur II Urban,26.79517078,75.82472293
302001,APOLLO SPECTRA HOSPITAL PVT.,Jaipur I,Jaipur I Urban,26.91451821,75.81277842
302012,MARUDHAR HOSPITAL PVT.,Jaipur I,Sirsi,26.9278626,75.746224
302015,SDM Hospital 1,Jaipur I,Jaipur I Urban,26.8951495,75.81263712
302017,JNU Jaipur,Jaipur II,Jaipur II Urban,26.85695786,75.87597562
302001,Surya Mother And Child. Jaipur,Jaipur I,Jaipur I Urban,26.90579953,75.81412962
